Variable,Period,mean,median,std,min,max
age,Pre,21.23,21.0,2.03,18.0,26.0
age,Post,22.78,23.0,2.05,19.0,28.0
education,Pre,9.99,11.0,1.91,0.0,16.0
education,Post,10.21,11.0,1.77,2.0,15.0
tenure,Pre,3.2,0.0,7.95,0.0,148.1
tenure,Post,8.85,3.3,16.37,0.0,171.57
salary,Pre,99662.55,0.0,156184.7,0.0,1e+06
salary,Post,215786.44,204000.0,203105.55,0.0,1e+06
profit,Pre,23247.91,0.0,80689.16,0.0,900000.0
profit,Post,22254.41,0.0,81464.51,0.0,800000.0
days_worked,Pre,12.04,4.0,12.67,0.0,30.0
days_worked,Post,17.13,24.0,11.87,0.0,30.0
hours_worked,Pre,24.88,0.0,28.13,0.0,119.0
hours_worked,Post,37.66,48.0,28.3,0.0,112.0
